metadata.url,metadata.title,metadata.last_modified,metadata.description,content.main_content,content.sections,content.related_links,content.images
https://sunway.edu.np/wp-content/uploads/2025/02/Teacher_traning-18-scaled.jpg,,,,,[],[],[]
https://sunway.edu.np/wp-content/uploads/2025/02/Teacher_traning-11-scaled.jpg,,,,,[],[],[]
https://sunway.edu.np/wp-content/uploads/2025/02/Teacher_traning-6-scaled.jpg,,,,,[],[],[]
https://sunway.edu.np/wp-content/uploads/2025/02/Teacher_traning-5-scaled.jpg,,,,,[],[],[]
https://sunway.edu.np/wp-content/uploads/2025/02/Teacher_traning-4-scaled.jpg,,,,,[],[],[]
