url,content
https://sunway.edu.np,Prashamsha Rijal
https://sunway.edu.np,Sugam Adhikari
https://sunway.edu.np,Aaryan Malla
https://sunway.edu.np,Sadikshya Ghimire
https://sunway.edu.np,Abhash Rai
https://sunway.edu.np/faq,Where can I study AI in Nepal?
https://sunway.edu.np/faq,What is the global ranking of Birmingham City University?
https://sunway.edu.np/faq,Why should I study with a high ranking university?
https://sunway.edu.np/faq,Are the courses approved by the Ministry of Education Nepal?
https://sunway.edu.np/faq,Are the courses certified equivalence by Tribhuwan University?
https://sunway.edu.np/faq,Which +2 stream students can apply for the BSc (Hons) Computer Science with Artificial Intelligence program?
https://sunway.edu.np/faq,"I do not have GPA 3.0 and above, can I still apply to study at Sunway College Kathmandu?"
https://sunway.edu.np/faq,Do BSc (Hons) Computer Science with Artificial Intelligence programs include placement?
https://sunway.edu.np/faq,Where can we get placed in the professional placement year?
https://sunway.edu.np/faq,Are there any scholarships available at Sunway College?
https://sunway.edu.np/faq,How do I apply to Sunway College?
https://sunway.edu.np/faq,How many enrollment intakes does Sunway have in a year?
https://sunway.edu.np/faq,Where is Sunway College Kathmandu Located?
https://sunway.edu.np/faq,What are the available courses at Sunway College?
https://sunway.edu.np/faq,What is the Sunway AI Scholarship Award?
https://sunway.edu.np/faq,What are the eligibility criteria for the AI Scholarship Award?
https://sunway.edu.np/faq,What is the application deadline for the Sunway AI Scholarship Award for Spring 2025 Intake?
https://sunway.edu.np/faq,How will the scholarship recipients be selected?
https://sunway.edu.np/faq,What does the scholarship cover?
https://sunway.edu.np/faq,How can I renew my scholarship?
https://sunway.edu.np/faq,What happens if I fail to maintain the scholarship requirements?
https://sunway.edu.np/faq,What are the key features of the BSc (Hons) Computer Science with Artificial Intelligence program?
https://sunway.edu.np/faq,What are the entry requirements for the program?
https://sunway.edu.np/faq,What are the career prospects after completing this program?
https://sunway.edu.np/faq,Are there any job opportunities for students?
https://sunway.edu.np/faq,Who to consult for job placements in Sunway College?
https://sunway.edu.np/faq,What is professional placement?
https://sunway.edu.np/faq,How much are the opportunities for on-campus jobs?
https://sunway.edu.np/faq,What are the class timings at Sunway?
https://sunway.edu.np/faq,Does Sunway College Kathmandu have an official student body?
https://sunway.edu.np/faq,How do I apply for data fellowship at Sunway?
https://sunway.edu.np/faq,Do students have Research Opportunities at Sunway College?
https://sunway.edu.np/contact,Call:
https://sunway.edu.np/contact,SMS / Whatsapp:
https://sunway.edu.np/contact,Email:
https://sunway.edu.np/program/artificial-intelligence,Duration
https://sunway.edu.np/program/artificial-intelligence,Credits
https://sunway.edu.np/program/artificial-intelligence,Timing
