url,content
https://sunway.edu.np,Sanket Shrestha
https://sunway.edu.np,Pratikshya Karki
https://sunway.edu.np,Sadikshya Ghimire
https://sunway.edu.np,Prashanta Acharya
https://sunway.edu.np,Prashanta Acharya
https://sunway.edu.np,Sanket Shrestha
https://sunway.edu.np,Sadikshya Ghimire
https://sunway.edu.np,Reach Out
https://sunway.edu.np,Quick Links
https://sunway.edu.np/about-us,"Before we answer the why question, take this words tour to know who we are."
https://sunway.edu.np/about-us,Bigyan Shrestha
https://sunway.edu.np/about-us,Mr. Pramod Poudel
https://sunway.edu.np/about-us,Bigyan Shrestha
https://sunway.edu.np/about-us,Pramod Poudel
https://sunway.edu.np/about-us,Amrit Thapa
https://sunway.edu.np/about-us,Khushal Regmi
https://sunway.edu.np/about-us,Simoli Gautam Desai
https://sunway.edu.np/about-us,Dr Tulika Mishra
https://sunway.edu.np/about-us,Manoj Gautam
https://sunway.edu.np/about-us,Khushal Regmi
https://sunway.edu.np/about-us,Prakash Gautam
https://sunway.edu.np/about-us,Rupak Koirala
https://sunway.edu.np/about-us,Satyam Paudel
https://sunway.edu.np/about-us,Dr Tulika Mishra
https://sunway.edu.np/about-us,Bibek Gautam
https://sunway.edu.np/about-us,Aastha Lamsal
https://sunway.edu.np/about-us,Nisha Gautam
https://sunway.edu.np/about-us,Chanda Thapa
https://sunway.edu.np/about-us,Anu Shrestha
https://sunway.edu.np/about-us,Sabina Kasaju Joshi
https://sunway.edu.np/about-us,Gita Shrestha
https://sunway.edu.np/about-us,Manish Kumar Sah
https://sunway.edu.np/about-us,Raju Shakya
https://sunway.edu.np/about-us,Reach Out
https://sunway.edu.np/about-us,Quick Links
https://sunway.edu.np/faq,Reach Out
https://sunway.edu.np/faq,Quick Links
https://sunway.edu.np/programs,Reach Out
https://sunway.edu.np/programs,Quick Links
https://sunway.edu.np/career-placements,Sudip Majkoti
https://sunway.edu.np/career-placements,Prashamsha Rijal
https://sunway.edu.np/career-placements,Subresh Thakulla
https://sunway.edu.np/career-placements,Sugam Adhikari
https://sunway.edu.np/career-placements,Sadikshya Ghimire
