url,content
https://sunway.edu.np,Sunway College Announces Special ‘IELTS’ Scholarship Opportunity for AI Studies!
https://sunway.edu.np,Sunway College and Pathao Nepal team up to Offer Internship and Job Opportunities for IT Students
https://sunway.edu.np,Sunway College and Adex: Empowering Futures with Mentorship and Placement Opportunities
https://sunway.edu.np,Sunway College Kathmandu Partners with Inspiring Lab to Empower Students for Industry Success
https://sunway.edu.np,To Empower Students with Localized AI Expertise Sunway Partners with Diyo AI
https://sunway.edu.np,Sunway College Kathmandu Partners with Kathmandu Metropolitan City to Empower Local Communities
https://sunway.edu.np/programs,Sunwayian Spotlight: Inspiring Alumni Talk Recap with Mr. Kiran Prajapati (Data Engineer)
https://sunway.edu.np/programs,Multimedia Training by Verside Production
https://sunway.edu.np/programs,7 Days Free Digital Marketing & Data Science Bootcamp
https://sunway.edu.np/programs,Webinar – Limitless Scope & Promising Future of Data Science and AI
https://sunway.edu.np/programs,Free 1 Day Session/Workshop on Data Science as a Career for +2 Students
https://sunway.edu.np/programs,Free Digital Marketing Workshop for +2 Graduates
https://sunway.edu.np/programs,A Session on Data Science As a Career
https://sunway.edu.np/career-placements,F1 Soft
https://sunway.edu.np/career-placements,WiseYak
https://sunway.edu.np/career-placements,CloudFactory
https://sunway.edu.np/career-placements,TreeLeaf
https://sunway.edu.np/career-placements,Leapfrog
https://sunway.edu.np/career-placements,Prixa
https://sunway.edu.np/career-placements,GritFeat
https://sunway.edu.np/career-placements,Quickfox Consulting
https://sunway.edu.np/career-placements,Lis Nepal
https://sunway.edu.np/career-placements,Diyo
https://sunway.edu.np/career-placements,ExtensoData
https://sunway.edu.np/career-placements,Palm Mind
https://sunway.edu.np/career-placements,Khalti
https://sunway.edu.np/career-placements,TechKraft
https://sunway.edu.np/career-placements,Ekbana
https://sunway.edu.np/career-placements,Esewa
https://sunway.edu.np/career-placements,LogPoint
https://sunway.edu.np/career-placements,IME Pay
https://sunway.edu.np/career-placements,Fonepay
https://sunway.edu.np/career-placements,Code Himalaya
https://sunway.edu.np/career-placements,Yarsha Labs
https://sunway.edu.np/career-placements,Pathao
https://sunway.edu.np/career-placements,Genese
https://sunway.edu.np/career-placements,Intuji
https://sunway.edu.np/career-placements,Aqore
https://sunway.edu.np/career-placements,Clock B
https://sunway.edu.np/career-placements,Inspiring Lab
https://sunway.edu.np/career-placements,Dlytica
https://sunway.edu.np/career-placements,Info Developers
https://sunway.edu.np/career-placements,Karkhana
https://sunway.edu.np/career-placements,Adex
https://sunway.edu.np/career-placements,SunyaEk
https://sunway.edu.np/career-placements,Programiz
https://sunway.edu.np/career-placements,Eminance Ways
https://sunway.edu.np/career-placements,Swift technology
https://sunway.edu.np/career-placements,Dynamic Technosoft
https://sunway.edu.np/career-placements,SlashPlus
https://sunway.edu.np/career-placements,Spiralogics
https://sunway.edu.np/career-placements,DishHome
https://sunway.edu.np/career-placements,CodroidHub
https://sunway.edu.np/career-placements,BroadWay Infosys
https://sunway.edu.np/career-placements,Cypher Technology
https://sunway.edu.np/career-placements,Data Hub
https://sunway.edu.np/career-placements,Waft Technology
https://sunway.edu.np/career-placements,Tuna Technology
https://sunway.edu.np/career-placements,Logica Beans
https://sunway.edu.np/career-placements,Vacancy for Senior Lecturers
https://sunway.edu.np/career-placements,Sunway College Announces Special ‘IELTS’ Scholarship Opportunity for AI Studies!
https://sunway.edu.np/career-placements,Sunway College and Pathao Nepal team up to Offer Internship and Job Opportunities for IT Students
https://sunway.edu.np/career-placements,Sunway College and Adex: Empowering Futures with Mentorship and Placement Opportunities
https://sunway.edu.np/career-placements,Sunway College Kathmandu Partners with Inspiring Lab to Empower Students for Industry Success
https://sunway.edu.np/career-placements,To Empower Students with Localized AI Expertise Sunway Partners with Diyo AI
https://sunway.edu.np/career-placements,Sunway College Kathmandu Partners with Kathmandu Metropolitan City to Empower Local Communities
https://sunway.edu.np/blogs,"How Nepal’s Social Media Council Bill, 2081 BS Could Impact Students: A Closer Look"
https://sunway.edu.np/blogs,For AI Enthusiasts: A Fascinating Journey Through the History of Artificial Intelligence
