url,src
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/AI_V1-86-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/AI_V1-37-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/AI_V1-36-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/AI_V1-5-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/storage_emulated_0_DCIM_.convert_tmp_files_IMG20240924114355_20240924212423-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/storage_emulated_0_DCIM_.convert_tmp_files_IMG20240924112516_20240924212429-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/storage_emulated_0_DCIM_.convert_tmp_files_IMG20240924112359_20240924212431-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/storage_emulated_0_DCIM_.convert_tmp_files_IMG20240924112324_20240924212430-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/V1_Innovation_class-14-1-scaled.jpg.webp
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/V1_Innovation_class-7-1-scaled.jpg.webp
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/Teej_college-162-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/Teej_college-168-scaled.jpg.webp
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/Teej_college-142-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/Teej_college-137-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/Teej_college-131-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/Teej_college-115-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/Teej_college-114-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/Teej_college-106-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/Teej_college-94-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/Teej_college-91-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/Teej_college-89-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/Teej_college-43-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/Teej_college-22-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/Teej_college-18-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/pannel_discusiion-07656-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/pannel_discusiion-07586-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/DSC09995-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/DSC09984-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/DSC09967-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/DSC09891-scaled.jpg
